pattern	sentence_type
je veux partir de $ pour $	from_to
j'aimerais me rendre à $ en quittant $	to_from
Je quitte $ pour $	from_to
Quel est le chemin le plus court de $ vers $ ?	from_to
Quel est le trajet optimal pour aller à $ depuis $ ?	to_from
itinéraire de voyage de $ vers $	from_to
Comment puis-je atteindre $ en partant de $ ?	to_from
Quel est l'itinéraire entre $ et $	from_to
Pouvez-vous me guider de $ jusqu'à $	to_from
Quel trajet pour $ $	from_to
J'aimerais me rendre sur $ en partant de $	to_from
je viens de $ et je veux aller à $	from_to
Je souhaite me rendre à $ à partir de $	to_from
Quelle est la route à suivre de $ à $ ?	from_to
Quel est le meilleur itinéraire pour rejoindre $ depuis $ ?	to_from
trajet $ $	from_to
Pouvez-vous m'indiquer comment aller à $ en partant de $ ?	to_from
itinéraire $ $	from_to
Je cherche un itinéraire pour aller à $ depuis $	to_from
le départ et l'arrivée de mon voyage sont respectivement $ et $	from_to
Je cherche à atteindre $ en commençant mon voyage à $	to_from
Ma provenance et ma destination sont respectivement $ et $	from_to
Quel est le chemin recommandé pour aller vers $ depuis $ ?	to_from
j'aimerais partir de $ pour me rendre à $	from_to
Comment puis-je me rendre à $ si je pars de $ ?	to_from
Je suis à $ et je souhaite me rendre à $	from_to
Je voudrais savoir comment rejoindre $ en débutant à $	to_from
Comment puis-je me déplacer de $ à $ ?	from_to
Quel est l'itinéraire suggéré pour aller à $ à partir de $ ?	to_from
Je souhaite le chemin le plus rapide entre les deux gares suivantes; gare de $ et gare de $	from_to
Pouvez-vous me guider vers $ en partant de $ ?	to_from
nous voulons aller du pont du $ jusqu'à $	from_to
Je cherche à me rendre à $ en démarrant de $	to_from
ils veulent aller de $ jusqu'à $	from_to
Quel est le trajet conseillé pour atteindre $ depuis $ ?	to_from
Je veux le trajet de $ à $	from_to
Comment puis-je voyager jusqu'à $ en commençant par $ ?	to_from
Je veux aller de $ à $	from_to
Je souhaite planifier un voyage vers $ en partant de $	to_from
Depuis $ à $	from_to
Quel est le parcours idéal pour aller à $ depuis $ ?	to_from
Emmène moi de $ à $	from_to
Pouvez-vous m'aider à trouver le chemin vers $ en partant de $ ?	to_from
de $ à $	from_to
Je cherche à me déplacer vers $ en débutant mon trajet à $	to_from
Je suis à $ et je veux aller à $	from_to
Quel est l'itinéraire le plus pratique pour aller à $ depuis $ ?	to_from
Quel est le trajet optimal entre $ et $ ?	from_to
Comment puis-je me diriger vers $ en commençant à $ ?	to_from
Je cherche à me rendre de $ vers $	from_to
Je voudrais connaître le meilleur moyen d'atteindre $ à partir de $	to_from
Pouvez-vous m'aider à planifier un voyage de $ à $ ?	from_to
Quel est le trajet le plus approprié pour rejoindre $ depuis $ ?	to_from
Je dois voyager de $ jusqu'à $	from_to
Pouvez-vous m'indiquer comment me rendre à $ en démarrant de $ ?	to_from
Comment puis-je aller de $ à $ ?	from_to
Je cherche à planifier mon voyage vers $ en partant de $	to_from
Quel est le parcours de $ à $ ?	from_to
Quel est le parcours recommandé pour aller jusqu'à $ depuis $ ?	to_from
Je cherche à me déplacer de $ en direction de $	from_to
Comment puis-je me rendre à destination $ en partant de $ ?	to_from
Indiquez-moi le chemin pour aller de $ à $	from_to
Je souhaite savoir comment atteindre $ si je commence mon trajet à $	to_from
Je souhaite me rendre de $ jusqu'à $	from_to
Quel est l'itinéraire optimal pour rejoindre $ en partant de $ ?	to_from
Quel est l'itinéraire le plus direct de $ à $ ?	from_to
arrivée $ et départ $	to_from
Je dois faire le trajet de $ à $	from_to
L'arrivée et le départ de mon voyage sont respectivement $ et $	to_from
Comment puis-je me rendre de $ à $ ?	from_to
Ma destination et ma provenance sont respectivement $ et $	to_from
Quel est le meilleur itinéraire pour aller de $ à $ ?	from_to
Je me rends à $ en partant de $	to_from
Je voudrais connaître le chemin entre $ et $	from_to
Quel est le meilleur chemin pour atteindre $ en partant de $	to_from
Pouvez-vous me dire comment aller de $ à $ ?	from_to
J'irai bien à la gare de $ depuis la gare de $	to_from
Je cherche à rejoindre $ depuis $	from_to
Indiquez-moi comment me rendre à $ en commençant par $	to_from
Quel est le trajet recommandé de $ vers $ ?	from_to
Je dois me déplacer vers $ en démarrant de $	to_from
Je dois faire le voyage de $ à $	from_to
Je veux me rendre à $ en partant de $	to_from
Comment puis-je me rendre de $ jusqu'à $ ?	from_to
Comment aller à $ depuis $	to_from
Quel est le meilleur moyen d'aller de $ à $ ?	from_to
Pourriez-vous m'indiquer le trajet de $ à $	to_from
Je cherche à planifier un trajet de $ vers $	from_to
Allons à $ depuis $	to_from
Pouvez-vous m'indiquer le chemin de $ à $ ?	from_to
Itinéraire jusqu'à $ depuis $	to_from
Je souhaite connaître l'itinéraire entre $ et $	from_to
itinéraire jusqu'a $ en partant de $	to_from
Quel est le parcours conseillé de $ à $ ?	from_to
Je souhaite voyager vers $ en commençant mon trajet à $	to_from
Je dois effectuer le trajet de $ jusqu'à $	from_to
Je veux trouver un trajet de $ à $	from_to
Je voudrais savoir comment aller de $ à $	from_to
Quel est l'itinéraire recommandé pour aller à $ à partir de $	to_from
Comment me rendre à $ depuis $	to_from
Je prévois un déplacement de $ à $	from_to
Quelle est la meilleure façon d'arriver à $ en partant de $ ?	to_from
Quel est le chemin à emprunter pour aller de $ à $ ?	from_to
