sentence	sentence_type
je veux partir de La Tricherie pour Sées	from_to
je veux partir de Les Eyzies pour Besançon-Viotte	from_to
je veux partir de Champagné pour St-Maurice-de-Beynost	from_to
je veux partir de Chalais pour Hagondange	from_to
je veux partir de Vias pour Vaumoise	from_to
je veux partir de Port-de-Bouc pour Chauffailles	from_to
je veux partir de Langeac pour Phalempin	from_to
je veux partir de Biache-St-Vaast pour Givors	from_to
je veux partir de Ygos pour Avrechy	from_to
je veux partir de Sélestat pour Xertigny	from_to
je veux partir de Franois pour Nonancourt	from_to
je veux partir de Ebersheim pour Paris	from_to
je veux partir de Régny pour Turenne	from_to
je veux partir de Arc-et-Senans pour La Frayère	from_to
je veux partir de Montescourt pour Munchhausen	from_to
je veux partir de St-Romain-le-Puy pour La Meyze	from_to
je veux partir de Beaucaire pour St-Chamond	from_to
je veux partir de Aillevillers pour Douai	from_to
je veux partir de Mende pour Mulhouse-Dornach	from_to
je veux partir de Brebières-Sud pour Nozières-Brignon	from_to
je veux partir de Béthune pour Mâcon-Loché	from_to
je veux partir de Saales pour Marienthal	from_to
je veux partir de St-Paterne pour Wambaix	from_to
je veux partir de Limoux pour Thann-Centre	from_to
je veux partir de Herrlisheim-près-Colmar pour Angoulême	from_to
je veux partir de Rassuen pour Caudry	from_to
je veux partir de Monteux pour Gandrange-Amnéville	from_to
je veux partir de Capdenac pour St-Mariens-St-Yzan	from_to
je veux partir de Domfront pour Manosque-Gréoux-les-Bains	from_to
je veux partir de L'Aiguille pour Liart	from_to
je veux partir de St-Lô pour Lyon-Jean-Macé	from_to
je veux partir de Broye pour La Fouillouse	from_to
je veux partir de Audrieu pour Cires-lès-Mello	from_to
je veux partir de Le Mans pour Lesparre	from_to
je veux partir de Pérols pour St-Fons	from_to
je veux partir de Clacy-Mons pour Marignier	from_to
je veux partir de St-Jory pour Rethel	from_to
je veux partir de Vraincourt-Viéville pour Gien	from_to
je veux partir de Villeperdue pour Loches	from_to
je veux partir de Ebblinghem pour Vic-le-Comte	from_to
je veux partir de St-Jean-de-Verges pour Forbach	from_to
je veux partir de Salomé pour Flaxlanden	from_to
je veux partir de Le Havre-Graville pour St-Symphorien-de-Marmagne	from_to
je veux partir de Turckheim pour Ste-Eulalie-Carbon-Blanc	from_to
je veux partir de Preignac pour St-Rambert-d'Albon	from_to
